,Total Household Income
5117,129154
5118,242169
5119,333504
5120,111195
5121,149585
5122,113280
5123,93637
5124,161845
5125,209598
5126,260100
5127,119300
5128,91851
5129,256177
5130,173455
5131,492271
5132,155885
5133,153375
5134,282260
5135,383605
5136,128162
5137,153135
5138,105525
5139,1110258
5140,1486257
5141,155632
5142,167808
5143,148028
5144,106456
5145,210784
5146,169113
5147,163510
5148,221555
5149,338567
5150,89748
5151,308140
5152,136995
5153,141278
5154,339519
5155,811960
5156,204865
5157,570214
5158,631929
5159,661678
5160,137410
5161,181670
5162,219915
5163,280955
5164,1134600
5165,184718
5166,252475
5167,246952
5168,141635
5169,387590
5170,54440
5171,239260
5172,363071
5173,454870
5174,673275
5175,410833
5176,150217
5177,662098
5178,681300
5179,731600
5180,116314
5181,171410
5182,319895
5183,363256
5184,121920
5185,717352
5186,570551
5187,331832
5188,260554
5189,132960
5190,186505
5191,196830
5192,181603
5193,345570
5194,331330
5195,412525
5196,266839
5197,60720
5198,181967
5199,547660
5200,288991
5201,87648
5202,345849
5203,108712
5204,235364
5205,132500
5206,162340
5207,142951
5208,136717
5209,163689
5210,426715
5211,138720
5212,172051
5213,154524
5214,357326
5215,144940
5216,122740
5217,224385
5218,317285
5219,124888
5220,73232
5221,93432
5222,228335
5223,250812
5224,251381
5225,185802
5226,891498
5227,207600
5228,165576
5229,634600
5230,303189
5231,240294
5232,152003
5233,803943
5234,179778
5235,148438
5236,369300
5237,274890
5238,183000
5239,396686
5240,186894
5241,222798
5242,150300
5243,189960
5244,356800
5245,40650
5246,137029
5247,254660
5248,558202
5249,262600
5250,185720
5251,630448
5252,204632
5253,165970
5254,344900
5255,544000
5256,174186
5257,475800
5258,445200
5259,222230
5260,376028
5261,132737
5262,209753
5263,371908
5264,209922
5265,230000
5266,168610
5267,811400
5268,161940
5269,180940
5270,444634
5271,665240
5272,322335
5273,437392
5274,213440
5275,480498
5276,469602
5277,355300
5278,171320
5279,149195
5280,153863
5281,209700
5282,301014
5283,556307
5284,203602
5285,99042
5286,185975
5287,152608
5288,84600
5289,130080
5290,267692
5291,146152
5292,305713
5293,504431
5294,521905
5295,256452
5296,94286
5297,126814
5298,1437600
5299,308805
5300,357781
5301,154458
5302,242255
5303,241572
5304,346315
5305,220765
5306,497642
5307,214628
5308,167620
5309,352350
5310,339882
5311,325525
5312,180174
5313,160000
5314,117250
5315,163482
5316,174780
5317,456454
5318,248299
5319,483095
5320,373033
5321,893210
5322,380855
5323,44367
5324,227685
5325,158120
5326,86376
5327,72030
5328,233470
5329,35938
5330,162315
5331,208689
5332,164268
5333,510042
5334,506488
5335,164288
5336,522411
5337,134865
5338,79395
5339,231328
5340,461063
5341,220400
5342,130582
5343,234629
5344,381551
5345,213714
5346,486723
5347,347294
5348,113601
5349,366674
5350,457196
5351,124230
5352,108314
5353,564793
5354,162555
5355,156215
5356,157280
5357,416138
5358,263129
5359,143720
5360,375357
5361,105775
5362,160535
5363,214006
5364,163600
5365,576100
5366,86286
5367,107620
5368,128155
5369,666230
5370,158808
5371,269600
5372,85876
5373,113785
5374,180796
5375,431389
5376,277568
5377,196440
5378,233085
5379,148160
5380,182985
5381,518480
5382,384050
5383,186235
5384,158475
5385,415752
5386,301970
5387,342680
5388,91735
5389,268108
5390,412180
5391,227397
5392,157285
5393,320060
5394,102005
5395,350310
5396,215456
5397,239514
5398,188455
5399,1788940
5400,131257
5401,240212
5402,135890
5403,318464
5404,584384
5405,1219050
5406,298715
5407,551000
5408,225045
5409,1472420
5410,342989
5411,1083091
5412,468354
5413,194351
5414,177150
5415,226470
5416,328688
5417,180815
5418,121725
5419,236618
5420,853302
5421,1474405
5422,241207
5423,437980
5424,1077502
5425,527583
5426,496277
5427,1536242
5428,111520
5429,838998
5430,949706
5431,206030
5432,247768
5433,189838
5434,277755
5435,1353000
5436,475580
5437,574400
5438,439460
5439,588000
5440,390535
5441,575900
5442,111300
5443,133679
5444,607282
5445,168280
5446,590548
5447,516779
5448,166640
5449,495192
5450,385350
5451,235979
5452,186132
5453,186319
5454,216205
5455,1599136
5456,193254
5457,237894
5458,240402
5459,140574
5460,156060
5461,347300
5462,552994
5463,318004
5464,273140
5465,274153
5466,233685
5467,159661
5468,637450
5469,190587
5470,229069
5471,367135
5472,252426
5473,825360
5474,107742
5475,357082
5476,224864
5477,446768
5478,331396
5479,162625
5480,439996
5481,238576
5482,610859
5483,554720
5484,372746
5485,171720
5486,810920
5487,133572
5488,120380
5489,83375
5490,244504
5491,376178
5492,243930
5493,2265130
5494,139892
5495,1383590
5496,321630
5497,1228811
5498,1332060
5499,731940
5500,312360
5501,326280
5502,452770
5503,372224
5504,180073
5505,214418
5506,339500
5507,269932
5508,506400
5509,480039
5510,60190
5511,232123
5512,391830
5513,249146
5514,362564
5515,560531
5516,267628
5517,526103
5518,444613
5519,270863
5520,398252
5521,168412
5522,380000
5523,88040
5524,466132
5525,428080
5526,216998
5527,154918
5528,180546
5529,307724
5530,499698
5531,87656
5532,651410
5533,193917
5534,121430
5535,107920
5536,237148
5537,254106
5538,436545
5539,537230
5540,130510
5541,177873
5542,171306
5543,701483
5544,247471
5545,329187
5546,353680
5547,195305
5548,129794
5549,156415
5550,120572
5551,183500
5552,153492
5553,182540
5554,419376
5555,58187
5556,95031
5557,358131
5558,500860
5559,236258
5560,75020
5561,287986
5562,240273
5563,422446
5564,252465
5565,301752
5566,217530
5567,901716
5568,466632
5569,276742
5570,373574
5571,291103
5572,2116772
5573,1505700
5574,267904
5575,720516
5576,163490
5577,509220
5578,285044
5579,256125
5580,272528
5581,241914
5582,426360
5583,634774
5584,242130
5585,1392940
5586,312000
5587,1494497
5588,388380
5589,462996
5590,205390
5591,353246
5592,210288
5593,229744
5594,180943
5595,749388
5596,57240
5597,116130
5598,136192
5599,137000
5600,107965
5601,322972
5602,238236
5603,751770
5604,158541
5605,251212
5606,356168
5607,403826
5608,107108
5609,216560
5610,391264
5611,179350
5612,114020
5613,57900
5614,123065
5615,174260
5616,240122
5617,200660
5618,242202
5619,437420
5620,180800
5621,360313
5622,244100
5623,333660
5624,263000
5625,675380
5626,457876
5627,238050
5628,318104
5629,120340
5630,389611
5631,210800
5632,362352
5633,76978
5634,272615
5635,359900
5636,151660
5637,278770
5638,159730
5639,52965
5640,367960
5641,486428
5642,175065
5643,275610
5644,262936
5645,798496
5646,181918
5647,293234
5648,1465980
5649,307940
5650,640400
5651,217095
5652,231989
5653,457518
5654,252290
5655,234756
5656,151085
5657,380048
5658,1110410
5659,402400
5660,742000
5661,188190
5662,286426
5663,183480
5664,320455
5665,469767
5666,165945
5667,242560
5668,302932
5669,181380
5670,395131
5671,181213
5672,111196
5673,386815
5674,289503
5675,255184
5676,450544
5677,337856
5678,270918
5679,343119
5680,142489
5681,927000
5682,310709
5683,275500
5684,344700
5685,218842
5686,548432
5687,147996
5688,183419
5689,226183
5690,148648
5691,203102
5692,184944
5693,311043
5694,473954
5695,170588
5696,308703
5697,168554
5698,121295
5699,97320
5700,316435
5701,270903
5702,203526
5703,628760
5704,340070
5705,209726
5706,187935
5707,874778
5708,149305
5709,368784
5710,269230
5711,459210
5712,121150
5713,265260
5714,217152
5715,354244
5716,423200
5717,122729
5718,240199
5719,276911
5720,457933
5721,149188
5722,138260
5723,183119
5724,406376
5725,209200
5726,335563
5727,302110
5728,106816
5729,343044
5730,757008
5731,327951
5732,255330
5733,534971
5734,220192
5735,119184
5736,42675
5737,119265
5738,211153
5739,305060
5740,237796
5741,150030
5742,173685
5743,506160
5744,322384
5745,219916
5746,223720
5747,135050
5748,281082
5749,194840
5750,157298
5751,815762
5752,58211
5753,391320
5754,370998
5755,268399
5756,158400
5757,274960
5758,205365
5759,192500
5760,286368
5761,230996
5762,278132
5763,879550
5764,170113
5765,198454
5766,430480
5767,335368
5768,204868
5769,245640
5770,493305
5771,216252
5772,490972
5773,269560
5774,340525
5775,109823
5776,355138
5777,124612
5778,469050
5779,824190
5780,102140
5781,470830
5782,326470
5783,384062
5784,310430
5785,156210
5786,371620
5787,480325
5788,459557
5789,104248
5790,370522
5791,132545
5792,185664
5793,602384
5794,341536
5795,213280
5796,246048
5797,403092
5798,502440
5799,661851
5800,1505875
5801,260174
5802,318830
5803,945684
5804,130389
5805,616226
5806,165244
5807,395370
5808,215144
5809,481906
5810,133868
5811,532625
5812,377990
5813,183080
5814,216304
5815,395681
5816,108182
5817,662212
5818,313642
5819,188828
5820,558361
5821,274676
5822,288795
5823,314919
5824,279713
5825,264160
5826,225450
5827,252390
5828,1051475
5829,302117
5830,465889
5831,138764
5832,200216
5833,409616
5834,206951
5835,236315
5836,194372
5837,232650
5838,205932
5839,263474
5840,247960
5841,249750
5842,277437
5843,200320
5844,196782
5845,42676
5846,265500
5847,274935
5848,211747
5849,139992
5850,220594
5851,343024
5852,923990
5853,302959
5854,169038
5855,284127
5856,149324
5857,278800
5858,251738
5859,173717
5860,391278
5861,194660
5862,158101
5863,262850
5864,369130
5865,283164
5866,165281
5867,469095
5868,174276
5869,548475
5870,172764
5871,345703
5872,433768
5873,177780
5874,220061
5875,291970
5876,163395
5877,206809
5878,168560
5879,180395
5880,347832
5881,660213
5882,184412
5883,439100
5884,91995
5885,37600
5886,163943
5887,287119
5888,349807
5889,322074
5890,152801
5891,271271
5892,137188
5893,321721
5894,199575
5895,108418
5896,162109
5897,121250
5898,280298
5899,74675
5900,614430
5901,154585
5902,560201
5903,220974
5904,332672
5905,1123220
5906,587400
5907,120455
5908,219220
5909,385920
5910,133865
5911,401360
5912,483215
5913,153139
5914,371952
5915,291213
5916,266328
5917,386560
5918,400008
5919,352735
5920,275448
5921,271707
5922,166728
5923,363006
5924,1984838
5925,736648
5926,115805
5927,369454
5928,296530
5929,438626
5930,263786
5931,573630
5932,727694
5933,405678
5934,1804442
5935,156098
5936,383900
5937,280508
5938,427884
5939,297620
5940,281998
5941,82724
5942,197027
5943,302716
5944,257234
5945,193387
5946,130426
5947,344618
5948,160816
5949,274576
5950,495842
5951,85516
5952,309756
5953,351135
5954,228661
5955,155900
5956,355335
5957,283470
5958,492870
5959,222240
5960,54718
5961,304924
5962,139335
5963,139745
5964,252895
5965,424490
5966,169270
5967,216355
5968,156310
5969,121775
5970,81345
5971,66206
5972,79505
5973,255876
5974,122645
5975,111712
5976,156726
5977,166415
5978,134795
5979,304999
5980,119407
5981,174120
5982,268495
5983,311995
5984,231981
5985,202600
5986,464895
5987,353884
5988,324206
5989,368455
5990,229907
5991,151242
5992,219239
5993,826662
5994,156610
5995,224789
5996,258753
5997,75483
5998,971905
5999,181800
6000,311180
6001,664259
6002,208910
6003,271706
6004,307552
6005,152811
6006,169600
6007,179740
6008,78100
6009,282585
6010,173622
6011,588285
6012,585048
6013,397618
6014,125512
6015,126118
6016,216005
6017,189810
6018,131000
6019,279396
6020,105780
6021,452219
6022,257148
6023,399977
6024,155920
6025,261010
6026,320309
6027,450217
6028,526646
6029,332750
6030,171418
6031,788380
6032,257760
6033,236588
6034,101516
6035,531668
6036,195400
6037,453312
6038,115380
6039,140705
6040,173712
6041,346256
6042,320349
6043,852043
6044,337095
6045,1068020
6046,47310
6047,211125
6048,200856
6049,142151
6050,107192
6051,193404
6052,645082
6053,276800
6054,278538
6055,549847
6056,340037
6057,538920
6058,276902
6059,77295
6060,95794
6061,174650
6062,369670
6063,489807
6064,281810
6065,252537
6066,70675
6067,195725
6068,222878
6069,220116
6070,214085
6071,147075
6072,204083
6073,120180
6074,138857
6075,61279
6076,154932
6077,103270
6078,228618
6079,102878
6080,127119
6081,276901
6082,316940
6083,217351
6084,214449
6085,277450
6086,143189
6087,174395
6088,97614
6089,166199
6090,308244
6091,580517
6092,213744
6093,62051
6094,436334
6095,231028
6096,145196
6097,465262
6098,248214
6099,348829
6100,526039
6101,129778
6102,979762
6103,118320
6104,112020
6105,44253
6106,237183
6107,59162
6108,50080
6109,1352278
6110,136488
6111,284812
6112,83796
6113,48262
6114,380528
6115,104674
6116,142573
6117,123165
6118,107889
6119,113940
6120,230363
6121,118704
6122,249477
6123,239480
6124,152948
6125,229170
6126,69161
6127,261626
6128,163129
6129,387094
6130,200845
6131,60650
6132,18044
6133,167278
6134,142530
6135,166702
6136,423413
6137,2811580
6138,285649
6139,471969
6140,643216
6141,189500
6142,143033
6143,508542
6144,584159
6145,97482
6146,507072
6147,194925
6148,77979
6149,157658
6150,314712
6151,101790
6152,140220
6153,242345
6154,67940
6155,37856
6156,73895
6157,39382
6158,138798
6159,223127
6160,113400
6161,383236
6162,211440
6163,1077910
6164,160804
6165,122408
6166,2432950
6167,161828
6168,732450
6169,541460
6170,281835
6171,467300
6172,708810
6173,90154
6174,318960
6175,520308
6176,110100
6177,148595
6178,311160
6179,104288
6180,363107
6181,139351
6182,251290
6183,135385
6184,133255
6185,243085
6186,136475
6187,547185
6188,243167
6189,172413
6190,336988
6191,122695
6192,288120
6193,120476
6194,140675
6195,378788
6196,202840
6197,191130
6198,350702
6199,329420
6200,166370
6201,340454
6202,337135
6203,216500
6204,78570
6205,114240
6206,379500
6207,940233
6208,90725
6209,143270
6210,108120
6211,140565
6212,120535
6213,498975
6214,152728
6215,185906
6216,38648
6217,159579
6218,121399
6219,682028
6220,127376
6221,635547
6222,114718
6223,111463
6224,147105
6225,154038
6226,529315
6227,146198
6228,242100
6229,142825
6230,169002
6231,367975
6232,168380
6233,32683
6234,188844
6235,139946
6236,531402
6237,207477
6238,158237
6239,156564
6240,180409
6241,302232
6242,116396
6243,158118
6244,140553
6245,123555
6246,103239
6247,124746
6248,83213
6249,178140
6250,35524
6251,241169
6252,94164
6253,206905
6254,179825
6255,136576
6256,233177
6257,197847
6258,90235
6259,188913
6260,25798
6261,148336
6262,200857
6263,107182
6264,160235
6265,182066
6266,378882
6267,358254
6268,110153
6269,126950
6270,102365
6271,170219
6272,141719
6273,117645
6274,171170
6275,165989
6276,271090
6277,1038485
6278,193790
6279,549236
6280,49895
6281,148036
6282,185100
6283,238380
6284,361823
6285,92027
6286,49970
6287,253994
6288,59215
6289,131143
6290,197803
6291,132673
6292,139867
6293,137328
6294,226212
6295,93131
6296,43559
6297,342446
6298,108422
6299,88281
6300,98732
6301,78397
6302,154386
6303,531674
6304,127959
6305,72251
6306,204272
6307,118221
6308,67172
6309,111748
6310,73011
6311,179153
6312,446998
6313,68569
6314,74408
6315,81793
6316,97478
6317,2029943
6318,159238
6319,62440
6320,145406
6321,141047
6322,99139
6323,195145
6324,54111
6325,124172
6326,530262
6327,399831
6328,152172
6329,95744
6330,150108
6331,35698
6332,225264
6333,122254
6334,224790
6335,80714
6336,90179
6337,199577
6338,151842
6339,117860
6340,313775
6341,134935
6342,704008
6343,284710
6344,64313
6345,276550
6346,472975
6347,133237
6348,253895
6349,331051
6350,145377
6351,112958
6352,220368
6353,172750
6354,99010
6355,110470
6356,12141
6357,162656
6358,196986
6359,707591
6360,151380
6361,240590
6362,186870
6363,154508
6364,132628
6365,421900
6366,142330
6367,185880
6368,1025970
6369,183050
6370,590465
6371,301510
6372,136475
6373,108001
6374,538420
6375,318610
6376,180765
6377,145603
6378,57420
6379,75805
6380,211362
6381,86800
6382,324810
6383,173358
6384,133525
6385,156413
6386,76981
6387,221809
6388,135017
6389,206495
6390,207878
6391,136044
6392,182971
6393,439410
6394,170710
6395,118864
6396,63186
6397,161384
6398,159662
6399,208690
6400,103270
6401,86483
6402,168235
6403,85586
6404,99647
6405,139995
6406,50788
6407,168008
6408,48024
6409,254018
6410,143720
6411,83903
6412,17866
6413,93417
6414,66291
6415,300396
6416,133745
6417,170997
6418,106431
6419,97358
6420,81209
6421,378005
6422,226424
6423,505935
6424,78030
6425,170400
6426,441258
6427,99771
6428,179260
6429,55378
6430,546168
6431,278514
6432,112600
6433,110796
6434,224245
6435,167560
6436,131106
6437,114350
6438,99861
6439,446949
6440,140712
6441,259978
6442,182531
6443,131515
6444,100040
6445,138340
6446,89985
6447,97115
6448,123739
6449,365837
6450,165414
6451,101185
6452,126075
6453,192506
6454,83775
6455,60560
6456,429280
6457,79405
6458,189363
6459,96227
6460,93175
6461,120155
6462,225818
6463,661010
6464,206652
6465,128713
6466,196876
6467,479634
6468,122105
6469,59480
6470,102411
6471,122655
6472,90720
6473,62706
6474,113130
6475,53848
6476,112104
6477,70375
6478,227385
6479,116790
6480,104802
6481,176710
6482,99905
6483,467833
6484,217562
6485,204815
6486,134025
6487,197840
6488,186015
6489,311354
6490,543970
6491,166260
6492,141055
6493,195728
6494,114585
6495,141577
6496,383283
6497,33727
6498,425216
6499,542572
6500,170443
6501,73781
6502,224329
6503,262246
6504,349472
6505,61448
6506,119714
6507,155331
6508,288644
6509,85173
6510,121662
6511,415402
6512,128891
6513,151185
6514,66503
6515,70067
6516,132784
6517,117583
6518,107788
6519,102644
6520,136648
6521,20785
6522,196291
6523,36136
6524,168764
6525,361609
6526,145368
6527,197478
6528,131381
6529,31994
6530,127196
6531,298442
6532,198266
6533,145018
6534,423805
6535,287582
6536,149800
6537,300054
6538,383780
6539,207264
6540,85430
6541,150725
6542,176555
6543,113226
6544,344591
6545,402624
6546,239752
6547,279751
6548,193971
6549,456569
6550,575647
6551,209275
6552,219795
6553,186328
6554,271411
6555,415041
6556,118029
6557,225784
6558,467119
6559,99609
6560,182225
6561,68128
6562,166250
6563,228495
6564,2014125
6565,182407
6566,252309
6567,221805
6568,241913
6569,620014
6570,149530
6571,542668
6572,189968
6573,177180
6574,98470
6575,191101
6576,123402
6577,143562
6578,202673
6579,92831
6580,231535
6581,147086
6582,112307
6583,402225
6584,101148
6585,314740
6586,235225
6587,143819
6588,222395
6589,52737
6590,304931
6591,440378
6592,447535
6593,313614
6594,88899
6595,74780
6596,303863
6597,68069
6598,129855
6599,151299
6600,407190
6601,561294
6602,362177
6603,212000
6604,103310
6605,395110
6606,627238
6607,495321
6608,123552
6609,394440
6610,357390
6611,185376
6612,56440
6613,378880
6614,235840
6615,951645
6616,399646
6617,243815
6618,140218
6619,328840
6620,304914
6621,439992
6622,126932
6623,231423
6624,68017
6625,154395
6626,620155
6627,189715
6628,124051
6629,123015
6630,132616
6631,137141
6632,73275
6633,144500
6634,157715
6635,69090
6636,1073601
6637,166115
6638,144235
6639,67309
6640,389350
6641,141232
6642,108916
6643,107022
6644,53503
6645,107030
6646,97380
6647,591380
6648,116509
6649,182390
6650,895365
6651,105651
6652,328840
6653,70247
6654,75210
6655,73325
6656,104895
6657,79250
6658,61930
6659,29615
6660,48015
6661,89165
6662,49660
6663,50290
6664,637812
6665,64655
6666,114890
6667,74060
6668,114375
6669,70950
6670,284465
6671,154880
6672,162041
6673,147976
6674,141444
6675,191380
6676,132176
6677,177408
6678,203526
6679,184265
6680,145000
6681,98415
6682,123585
6683,208226
6684,130985
6685,100713
6686,79150
6687,171177
6688,48102
6689,83185
6690,123940
6691,116185
6692,155860
6693,62661
6694,59986
6695,96300
6696,141698
6697,111432
6698,464888
6699,140658
6700,252007
6701,130511
6702,331407
6703,104614
6704,148250
6705,84018
6706,155240
6707,40815
6708,162625
6709,126035
6710,96993
6711,64750
6712,94588
6713,178400
6714,148483
6715,125470
6716,140005
6717,89185
6718,383116
6719,217808
6720,306205
6721,245219
6722,246730
6723,206386
6724,115252
6725,143652
6726,128790
6727,144160
6728,213740
6729,224388
6730,159300
6731,21262
6732,321389
6733,184955
6734,622080
6735,426860
6736,303919
6737,288598
6738,163065
6739,288907
6740,205609
6741,271821
6742,206053
6743,601815
6744,209315
6745,253114
6746,975424
6747,437988
6748,176234
6749,128515
6750,170050
6751,117775
6752,267434
6753,71800
6754,161618
6755,205577
6756,134588
6757,514454
6758,307056
6759,169870
6760,76784
6761,310058
6762,388356
6763,130538
6764,136993
6765,257447
6766,219098
6767,226940
6768,273504
6769,662486
6770,941103
6771,215396
6772,333534
6773,475450
6774,258090
6775,252556
6776,574465
6777,186240
6778,426448
6779,993000
6780,466950
6781,179810
6782,137625
6783,1115800
6784,189850
6785,97600
6786,406145
6787,293096
6788,198950
6789,886761
6790,227430
6791,230440
6792,156300
6793,168270
6794,234062
6795,72068
6796,225050
6797,120130
6798,434075
6799,651526
6800,783780
6801,455145
6802,187405
6803,309451
6804,442550
6805,827236
6806,870607
6807,3389330
6808,1117777
6809,283990
6810,322950
6811,1026687
6812,225125
6813,742650
6814,1770010
6815,1831900
6816,287020
6817,831290
6818,882548
6819,58208
6820,106957
6821,348358
6822,92725
6823,127877
6824,170152
6825,109206
6826,117804
6827,74180
6828,133607
6829,125625
6830,184160
6831,34744
6832,48005
6833,178900
6834,98680
6835,113572
6836,401078
6837,270628
6838,101216
6839,108062
6840,293670
6841,847608
6842,97612
6843,181790
6844,208515
6845,285283
6846,195178
6847,674897
6848,330929
6849,308331
6850,191879
6851,273031
6852,1068922
6853,1354814
6854,482370
6855,113727
6856,118369
6857,86459
6858,283459
6859,122181
6860,342497
6861,163963
6862,191168
6863,47798
6864,165392
6865,236609
6866,354662
6867,101609
6868,360914
6869,138733
6870,165476
6871,395865
6872,100070
6873,96815
6874,165784
6875,143860
6876,129740
6877,417230
6878,158755
6879,196710
6880,286228
6881,73063
6882,134382
6883,92000
6884,66673
6885,219200
6886,87500
6887,245206
6888,236540
6889,109102
6890,239576
6891,141925
6892,131582
6893,146763
6894,138236
6895,164320
6896,386048
6897,287680
6898,42804
6899,556316
6900,396126
6901,166760
6902,127990
6903,140673
6904,143796
6905,169733
6906,772655
6907,177435
6908,358050
6909,120725
6910,66287
6911,31212
6912,162221
6913,61933
6914,55370
6915,106336
6916,84798
6917,97597
6918,74942
6919,95859
6920,72839
6921,103667
6922,210094
6923,114548
6924,54327
6925,264445
6926,129132
6927,88047
6928,59105
6929,55315
6930,40815
6931,32645
6932,77210
6933,112490
6934,200524
6935,73340
6936,111727
6937,82575
6938,70637
6939,112164
6940,172218
6941,83160
6942,85751
6943,118698
6944,184638
6945,121811
6946,343003
6947,132280
6948,480208
6949,160122
6950,104980
6951,109530
6952,72450
6953,86250
6954,86010
6955,172988
6956,94769
6957,222495
6958,185726
6959,217978
6960,142756
6961,213450
6962,86113
6963,71766
6964,241196
6965,196410
6966,121158
6967,250229
6968,113339
6969,71270
6970,161844
6971,103313
6972,133186
6973,261590
6974,104565
6975,92503
6976,119298
6977,191374
6978,134988
6979,132030
6980,172810
6981,398340
6982,149102
6983,259655
6984,172040
6985,260938
6986,143039
6987,176080
6988,100595
6989,25133
6990,78776
6991,125611
6992,113161
6993,185930
6994,459997
6995,117312
6996,54264
6997,448975
6998,973780
6999,116963
7000,168533
7001,88312
7002,166027
7003,107418
7004,371278
7005,155921
7006,602211
7007,138478
7008,212811
7009,65807
7010,129598
7011,174712
7012,70179
7013,160296
7014,45345
7015,159005
7016,250810
7017,126607
7018,119148
7019,85924
7020,307990
7021,157133
7022,144327
7023,215345
7024,226693
7025,389410
7026,91150
7027,169600
7028,160690
7029,224260
7030,129076
7031,135405
7032,700533
7033,180890
7034,162966
7035,78893
7036,66920
7037,101936
7038,86102
7039,52581
7040,74950
7041,72116
7042,101297
7043,139492
7044,95653
7045,48031
7046,51225
7047,78211
7048,95070
7049,175336
7050,121893
7051,124360
7052,153001
7053,76884
7054,77931
7055,101622
7056,132308
7057,98525
7058,43531
7059,141030
7060,52163
7061,131906
7062,188612
7063,139831
7064,200346
7065,310893
7066,124697
7067,83526
7068,107725
7069,99605
7070,338415
7071,50465
7072,96625
7073,100900
7074,176240
7075,65520
7076,100413
7077,32518
7078,125603
7079,94012
7080,256150
7081,130584
7082,902333
7083,189544
7084,727489
7085,572531
7086,514754
7087,615467
7088,686721
7089,184914
7090,287894
7091,199862
7092,431044
7093,152683
7094,47470
7095,251983
7096,100971
7097,127136
7098,48197
7099,182232
7100,118134
7101,404740
7102,40764
7103,75511
7104,98346
7105,272536
7106,128755
7107,320715
7108,194725
7109,179040
7110,85646
7111,311580
7112,83123
7113,194328
7114,177102
7115,30093
7116,146120
7117,240037
7118,140783
7119,223113
7120,94994
7121,137594
7122,150878
7123,180246
7124,359157
7125,219354
7126,133096
7127,219250
7128,88093
7129,200205
7130,226599
7131,381763
7132,310725
7133,145096
7134,140486
7135,114593
7136,80295
7137,111954
7138,692702
7139,308273
7140,67147
7141,101700
7142,1217133
7143,91540
7144,73845
7145,197540
7146,105690
7147,102006
7148,154180
7149,249666
7150,81892
7151,122447
7152,553618
7153,137070
7154,245766
7155,108690
7156,107203
7157,83112
7158,452009
7159,151715
7160,84192
7161,71946
7162,124085
7163,124027
7164,204402
7165,93426
7166,176695
7167,79194
7168,132729
7169,32025
7170,97870
7171,252576
7172,176494
7173,187716
7174,119470
7175,104994
7176,120900
7177,118794
7178,107196
7179,147875
7180,137273
7181,95237
7182,44010
7183,271999
7184,286374
7185,224867
7186,170890
7187,157835
7188,256250
7189,210073
7190,69223
7191,184925
7192,291447
7193,539545
7194,432603
7195,172075
7196,113384
7197,183095
7198,222488
7199,158595
7200,149596
7201,61171
7202,162680
7203,41822
7204,203270
7205,152882
7206,115004
7207,112011
7208,92170
7209,350285
7210,151206
7211,146465
7212,176747
7213,271279
7214,140540
7215,145090
7216,88790
7217,256570
7218,95338
7219,131687
7220,166341
7221,128804
7222,82731
7223,268888
7224,187181
7225,123133
7226,764275
7227,71054
7228,66766
7229,117340
7230,162130
7231,190647
7232,559554
7233,192738
7234,389261
7235,221201
7236,145963
7237,134411
7238,250675
7239,269028
7240,165974
7241,144445
7242,222646
7243,532346
7244,184710
7245,196100
7246,72035
7247,48655
7248,158651
7249,118350
7250,681258
7251,168601
7252,458464
7253,282808
7254,171905
7255,376713
7256,191713
7257,70392
7258,124625
7259,140302
7260,146200
7261,83350
7262,136290
7263,103580
7264,88185
7265,257310
7266,70847
7267,103910
7268,147095
7269,159995
7270,148280
7271,56048
7272,112862
7273,474146
7274,99720
7275,113553
7276,153872
7277,288785
7278,696186
7279,200284
7280,320517
7281,107672
7282,99582
7283,151050
7284,221095
7285,348740
7286,313480
7287,540876
7288,169957
7289,314540
7290,155097
7291,127894
7292,150797
7293,78018
7294,67675
7295,80385
7296,71276
7297,78007
7298,81070
7299,28975
7300,157107
7301,57188
7302,86800
7303,84125
7304,57859
7305,54505
7306,60860
7307,107740
7308,91943
7309,79480
7310,404966
7311,70478
7312,152705
7313,94806
7314,127025
7315,367294
7316,100010
7317,291888
7318,171990
7319,111296
7320,168446
7321,90200
7322,250814
7323,105147
7324,314505
7325,114480
7326,115943
7327,96354
7328,49589
7329,220666
7330,157573
7331,147899
7332,97425
7333,86207
7334,265387
7335,273429
7336,86010
7337,175159
7338,139057
7339,185124
7340,386578
7341,916828
7342,147338
7343,248082
7344,178873
7345,154958
7346,159481
7347,115713
7348,202707
7349,121381
7350,166173
7351,56959
7352,47565
7353,110523
7354,307856
7355,601270
7356,660996
7357,323611
7358,143961
7359,135015
7360,132763
7361,93355
7362,80490
7363,174178
7364,588696
7365,191632
7366,62410
7367,298426
7368,132248
7369,165492
7370,128791
7371,81825
7372,188620
7373,124321
7374,418950
7375,356555
7376,269995
7377,242079
7378,247300
7379,328296
7380,169870
7381,261253
7382,341545
7383,221120
7384,184120
7385,149958
7386,680998
7387,105700
7388,198406
7389,145561
7390,158607
7391,172994
7392,103322
7393,116336
7394,269659
7395,195808
7396,163404
7397,118400
7398,85728
7399,84435
7400,137064
7401,102597
7402,125656
7403,104599
7404,177264
7405,134199
7406,151996
7407,275257
7408,24736
7409,71522
7410,175211
7411,92200
7412,133760
7413,105600
7414,86118
7415,91860
7416,96659
7417,388920
7418,45470
7419,93213
7420,55912
7421,127199
7422,61620
7423,181030
7424,124327
7425,125288
7426,173580
7427,115323
7428,87381
7429,176786
7430,32955
7431,148269
7432,162477
7433,84179
7434,51296
7435,141191
7436,560556
7437,315362
7438,553904
7439,97212
7440,176422
